Presence of fraud,auditor changes,num. commisioners,AGROW,DR,ROA,WCTA
0,0,0.3333,0.0683,0.1214,0.0176,0.6908
1,1,0.3333,-0.0297,0.1125,0.0086,0.6921
1,0,0.3333,0.0136,0.1311,0.0013,0.675
1,0,0.3333,0.0889,0.2108,0.0045,0.1929
0,1,0.3333,0.0003,0.2139,0.0006,0.0529
1,0,0.3333,0.0697,0.2682,0.0038,0.0695
0,0,0.3333,0.0022,0.2654,0.007,0.0755
0,0,0.4,0.0132,0.2764,0.0107,-0.0645
1,0,0.4,0.0983,0.2398,0.0103,-0.0455
1,0,0.4,0.0181,0.2487,0.1171,0.0684
0,0,0.4,0.0181,0.2638,0.012,0.0644
0,0,0.5833,0.0193,0.1113,0.1209,0.3479
0,0,0.6,-0.1339,0.1425,0.1962,0.2144
0,0,0.5455,-0.1208,0.1438,0.1763,0.1102
1,1,0.5,0.0592,0.1337,0.2393,0.1298
0,0,0.5,0.0459,0.1161,0.2468,0.1288
0,0,0.8889,-0.0042,0.1444,0.2259,0.0586
0,0,0.9,0.0268,0.1241,0.2776,0.0135
0,0,0.9,0.0235,0.1093,0.2905,0.0227
1,0,0.9091,0.0463,0.1419,0.2148,0.0883
1,0,0.9,0.0497,0.1282,0.2774,0.2637
0,1,0.9,-0.0076,0.1295,0.556,0.2161
1,1,0.4,-0.0518,0.3501,0.049,0.6451
1,0,0.4,0.065,0.3995,0.0202,0.6722
0,1,0.5,-0.0152,0.4072,0.0073,0.6264
0,0,0.4,-0.026,0.4084,0.0173,0.5778
0,0,0.6667,0.0478,0.4644,0.0158,0.6438
0,0,0.4,-0.079,0.4688,0.0299,0.58
0,0,0.5,-0.0467,0.4571,0.0489,0.6039
0,1,0.5714,-0.2949,0.5611,0.017,-0.257
0,0,0.6,-0.0249,0.5514,0.2707,-0.2381
0,0,0.6,-0.0561,0.6004,0.0598,-0.245
0,0,0.6,-0.0132,0.5413,0.0751,-0.219
1,1,0.5714,0.2106,0.3212,0.0655,0.2375
0,1,0.7143,0.0834,0.2989,0.078,0.0949
1,0,0.5714,-0.009,0.2456,0.1037,0.0728
1,0,0.5714,0.0437,0.2371,0.0356,0.0868
0,0,0.5714,0.0424,0.2353,0.0468,0.1019
0,1,0.625,0.032,0.2241,0.0376,0.1394
0,0,0.7778,-0.0023,0.2256,0.0348,0.0563
1,0,0.7143,-0.0188,0.1961,0.0337,0.5887
0,0,0.625,-0.01,0.2401,0.0605,0.0426
0,1,0.625,-0.0094,0.1983,0.0413,0.0106
1,1,0.625,0.0072,0.2005,0.012,0.038
0,1,0.6,-0.302,0.1526,0.1744,0.1552
1,1,0.4,-0.049,0.1572,0.2941,-0.0395
0,0,0.4,-0.0497,0.1685,0.0485,-0.0771
1,0,0.4,-0.128,0.2172,0.06,-0.1256
0,0,0.4,-0.0223,0.25,0.1585,-0.1773
0,0,0.4,-0.0422,0.2575,0.0524,-0.224
1,1,0.4,0.0504,0.3306,0.0372,-0.2481
0,0,0.4,0.0236,0.3794,0.0349,-0.2752
1,0,0.4,0.0544,0.3743,0.0315,-0.2235
1,1,0.4,0.3335,0.4285,0.0261,-0.0161
0,0,0.4,-0.0813,0.4346,0.0355,-0.2
1,1,0.5,0.0889,0.0093,0.2997,0.172
0,0,0.5714,0.0231,0.0003,0.0131,0.123
0,1,0.5714,0.0891,0.0003,0.0014,0.2141
0,0,0.7143,0.2445,0.021,0.0018,0.4089
1,0,0.6667,0.0422,0.0003,0.0012,0.4486
1,0,0.6667,0.0455,0.0004,0.0094,0.4622
1,1,0.6667,0.1839,0.0055,0.0417,0.0366
1,1,0.6667,0.0381,0.0005,0.1627,0.0801
1,0,0.6667,0.0035,0.0009,0.068,0.0848
0,0,0.375,0.0988,0.0009,0.0211,0.136
1,0,0.3333,0.0821,0.0005,0.0261,0.2431
0,1,0.75,-0.0084,0.1718,0.001,0.3728
0,0,0.6,-0.0476,0.1243,0.0207,0.3778
0,1,0.6,-0.1143,0.0017,0.0228,0.3763
0,1,0.6,0.1424,0.0025,0.0368,0.452
1,0,0.6,0.2249,0.0014,0.0364,0.5808
