M-score,Presence of fraud,auditor changes,num. commisioners,AGROW,DR,ROA,WCTA,Year/company,Sector
-2.28,0,0,0.9,0.0268,0.1241,0.2776,0.0135,BURSA/2018,services
-2.872,0,0,0.9,0.0235,0.1093,0.2905,0.0227,BURSA/2019,services
-2.16,1,0,0.9091,0.0463,0.1419,0.2148,0.0883,BURSA/2020,services
-2.132,1,0,0.9,0.0497,0.1282,0.2774,0.2637,BURSA/2021,services
-2.655,0,1,0.9,-0.0076,0.1295,0.556,0.2161,BURSA/2022,services
-2.169,1,1,0.4,-0.0518,0.3501,0.049,0.6451,RPB/2012,services
-1.637,1,0,0.4,0.065,0.3995,0.0202,0.6722,RPB/2013,services
-2.304,0,1,0.5,-0.0152,0.4072,0.0073,0.6264,RPB/2014,services
-2.488,0,0,0.4,-0.026,0.4084,0.0173,0.5778,RPB/2015,services
-2.608,0,0,0.6667,0.0478,0.4644,0.0158,0.6438,RPB/2016,services
-3.381,0,0,0.4,-0.079,0.4688,0.0299,0.58,RPB/2017,services
-2.514,0,0,0.5,-0.0467,0.4571,0.0489,0.6039,RPB/2018,services
-5.566,0,1,0.5714,-0.2949,0.5611,0.017,-0.257,RPB/2019,services
-3.538,0,0,0.6,-0.0249,0.5514,0.2707,-0.2381,RPB/2020,services
-2.608,0,0,0.6,-0.0561,0.6004,0.0598,-0.245,RPB/2021,services
-3.344,0,0,0.6,-0.0132,0.5413,0.0751,-0.219,RPB/2022,services
-2.126,1,1,0.5714,0.2106,0.3212,0.0655,0.2375,GTG/2012,services
-3.283,0,1,0.7143,0.0834,0.2989,0.078,0.0949,GTG/2013,services
-0.098,1,0,0.5714,-0.009,0.2456,0.1037,0.0728,GTG/2014,services
3.792,1,0,0.5714,0.0437,0.2371,0.0356,0.0868,GTG/2015,services
-2.796,0,0,0.5714,0.0424,0.2353,0.0468,0.1019,GTG/2016,services
-2.348,0,1,0.625,0.032,0.2241,0.0376,0.1394,GTG/2017,services
-2.615,0,0,0.7778,-0.0023,0.2256,0.0348,0.0563,GTG/2018,services
-1.722,1,0,0.7143,-0.0188,0.1961,0.0337,0.5887,GTG/2019,services
-3.279,0,0,0.625,-0.01,0.2401,0.0605,0.0426,GTG/2020,services
-3.051,0,1,0.625,-0.0094,0.1983,0.0413,0.0106,GTG/2021,services
-1.322,1,1,0.625,0.0072,0.2005,0.012,0.038,GTG/2022,services
-6.114,0,1,0.6,-0.302,0.1526,0.1744,0.1552,JOH/2012,services
1.102,1,1,0.4,-0.049,0.1572,0.2941,-0.0395,JOH/2013,services
-2.8,0,0,0.4,-0.0497,0.1685,0.0485,-0.0771,JOH/2014,services
3.869,1,0,0.4,-0.128,0.2172,0.06,-0.1256,JOH/2015,services
-2.452,0,0,0.4,-0.0223,0.25,0.1585,-0.1773,JOH/2016,services
-2.537,0,0,0.4,-0.0422,0.2575,0.0524,-0.224,JOH/2017,services
-1.78,1,1,0.4,0.0504,0.3306,0.0372,-0.2481,JOH/2018,services
-2.763,0,0,0.4,0.0236,0.3794,0.0349,-0.2752,JOH/2019,services
159.068,1,0,0.4,0.0544,0.3743,0.0315,-0.2235,JOH/2020,services
49.625,1,1,0.4,0.3335,0.4285,0.0261,-0.0161,JOH/2021,services
-2.713,0,0,0.4,-0.0813,0.4346,0.0355,-0.2,JOH/2022,services
14.826,1,1,0.5,0.0889,0.0093,0.2997,0.172,FAJ/2012,construction
-2.567,0,0,0.5714,0.0231,0.0003,0.0131,0.123,FAJ/2013,construction
-2.959,0,1,0.5714,0.0891,0.0003,0.0014,0.2141,FAJ/2014,construction
-21.448,0,0,0.7143,0.2445,0.021,0.0018,0.4089,FAJ/2015,construction
-1.651,1,0,0.6667,0.0422,0.0003,0.0012,0.4486,FAJ/2016,construction
18.007,1,0,0.6667,0.0455,0.0004,0.0094,0.4622,FAJ/2017,construction
10.927,1,1,0.6667,0.1839,0.0055,0.0417,0.0366,FAJ/2018,construction
-2.211,1,1,0.6667,0.0381,0.0005,0.1627,0.0801,FAJ/2019,construction
